metric_name,metric_type,interval,unit_name,per_unit_name,description,orientation,integration,short_name
mapr.db.scan_rasegments,gauge,,,,DESCRIPTION,0,mapr,
mapr.db.valuecache_hits,gauge,,,,DESCRIPTION,0,mapr,
mapr.db.checkandput_rpcs,gauge,,,,DESCRIPTION,0,mapr,
mapr.db.bucket_writebytes,gauge,,,,DESCRIPTION,0,mapr,
mapr.db.checkandput_bytes,gauge,,,,DESCRIPTION,0,mapr,
mapr.db.increment_currpcs,gauge,,,,DESCRIPTION,0,mapr,
mapr.db.increment_rpcrows,gauge,,,,DESCRIPTION,0,mapr,
mapr.db.tabletlookup_rpcs,gauge,,,,DESCRIPTION,0,mapr,
mapr.db.updateandget_rpcs,gauge,,,,DESCRIPTION,0,mapr,
mapr.db.importsegment_rpcs,gauge,,,,DESCRIPTION,0,mapr,
mapr.db.updateandget_bytes,gauge,,,,DESCRIPTION,0,mapr,
mapr.db.valuecache_lookups,gauge,,,,DESCRIPTION,0,mapr,
mapr.db.checkandput_rpcrows,gauge,,,,DESCRIPTION,0,mapr,
mapr.db.scan_raadviseranges,gauge,,,,DESCRIPTION,0,mapr,
mapr.db.valuecache_usedSize,gauge,,,,DESCRIPTION,0,mapr,
mapr.db.tabletlookup_currpcs,gauge,,,,DESCRIPTION,0,mapr,
mapr.db.updateandget_rpcrows,gauge,,,,DESCRIPTION,0,mapr,
mapr.db.importbucket_rpcs,gauge,,,,DESCRIPTION,0,mapr,
mapr.db.cdc.sent_bytes,gauge,,,,DESCRIPTION,0,mapr,
mapr.db.cdc.pending_bytes,gauge,,,,DESCRIPTION,0,mapr,
mapr.db.repl.sent_bytes,gauge,,,,DESCRIPTION,0,mapr,
mapr.db.repl.pending_bytes,gauge,,,,DESCRIPTION,0,mapr,
mapr.db.table.read_rows,gauge,,,,DESCRIPTION,0,mapr,
mapr.db.table.resp_rows,gauge,,,,DESCRIPTION,0,mapr,
mapr.db.table.read_bytes,gauge,,,,DESCRIPTION,0,mapr,
mapr.db.table.write_rows,gauge,,,,DESCRIPTION,0,mapr,
mapr.db.table.write_bytes,gauge,,,,DESCRIPTION,0,mapr,
mapr.db.table.value_cache_hits,gauge,,,,DESCRIPTION,0,mapr,
mapr.db.table.value_cache_lookups,gauge,,,,DESCRIPTION,0,mapr,
mapr.db.index.sent_bytes,gauge,,,,DESCRIPTION,0,mapr,
mapr.db.index.read_bytes,gauge,,,,DESCRIPTION,0,mapr,
mapr.db.index.pending_bytes,gauge,,,,DESCRIPTION,0,mapr,
mapr.db.log_compaction.sent_bytes,gauge,,,,DESCRIPTION,0,mapr,
mapr.db.log_compaction.pending_bytes,gauge,,,,DESCRIPTION,0,mapr,
mapr.io.write_bytes,gauge,,,,DESCRIPTION,0,mapr,
mapr.io.writes,gauge,,,,DESCRIPTION,0,mapr,
mapr.io.reads,gauge,,,,DESCRIPTION,0,mapr,
mapr.io.read_bytes,gauge,,,,DESCRIPTION,0,mapr,
mapr.process.vm,gauge,,,,DESCRIPTION,0,mapr,
mapr.process.rss,gauge,,,,DESCRIPTION,0,mapr,
mapr.process.data,gauge,,,,DESCRIPTION,0,mapr,
mapr.process.cpu_percent,gauge,,,,DESCRIPTION,0,mapr,
mapr.process.mem_percent,gauge,,percent,,Process memory percent,0,mapr,mem_percent
